,cases,county,date,fips,state,population
129,0.0,Hancock,2020-04-27,23009,Maine,54987
139,0.0,Kennebec,2020-04-27,23011,Maine,122302
149,0.0,Knox,2020-04-27,23013,Maine,39772
159,0.0,Lincoln,2020-04-27,23015,Maine,34634
169,0.0,Oxford,2020-04-27,23017,Maine,57975
179,0.0,Penobscot,2020-04-27,23019,Maine,152148
189,0.0,Sagadahoc,2020-04-27,23023,Maine,35856
199,0.0,Somerset,2020-04-27,23025,Maine,50484
209,0.0,Waldo,2020-04-27,23027,Maine,39715
219,0.0,Washington,2020-04-27,23029,Maine,31379
229,0.0,York,2020-04-27,23031,Maine,207641
389,0.0,Addison,2020-04-27,50001,Vermont,36777
449,0.0,Grand Isle,2020-04-27,50013,Vermont,7235
469,0.0,Orange,2020-04-27,50017,Vermont,28892
429,7.0,Essex,2020-04-27,50009,Vermont,6163
459,22.0,Lamoille,2020-04-27,50015,Vermont,25362
269,28.0,Coos,2020-04-27,33007,New Hampshire,31563
409,28.0,Caledonia,2020-04-27,50005,Vermont,29993
479,28.0,Orleans,2020-04-27,50019,Vermont,27037
329,33.0,Sullivan,2020-04-27,33019,New Hampshire,43146
399,34.0,Bennington,2020-04-27,50003,Vermont,35470
509,37.0,Windham,2020-04-27,50025,Vermont,42222
249,41.0,Carroll,2020-04-27,33003,New Hampshire,48910
499,43.0,Washington,2020-04-27,50023,Vermont,58409
519,43.0,Windsor,2020-04-27,50027,Vermont,55062
339,44.0,Bristol,2020-04-27,44001,Rhode Island,48479
239,46.0,Belknap,2020-04-27,33001,New Hampshire,61303
439,47.0,Franklin,2020-04-27,50011,Vermont,49402
489,54.0,Rutland,2020-04-27,50021,Vermont,58191
259,61.0,Cheshire,2020-04-27,33005,New Hampshire,76085
59,62.0,New London,2020-04-27,09011,Connecticut,265206
359,62.0,Newport,2020-04-27,44005,Rhode Island,82082
279,70.0,Grafton,2020-04-27,33009,New Hampshire,89886
49,71.0,New Haven,2020-04-27,09009,Connecticut,854757
79,89.0,Windham,2020-04-27,09015,Connecticut,116782
379,107.0,Washington,2020-04-27,44009,Rhode Island,125577
319,111.0,Strafford,2020-04-27,33017,New Hampshire,130633
39,122.0,Middlesex,2020-04-27,09007,Connecticut,162436
69,122.0,Tolland,2020-04-27,09013,Connecticut,150721
299,122.0,Merrimack,2020-04-27,33013,New Hampshire,151391
29,128.0,Litchfield,2020-04-27,09005,Connecticut,180333
349,134.0,Kent,2020-04-27,44003,Rhode Island,164292
419,141.0,Chittenden,2020-04-27,50007,Vermont,163774
309,267.0,Rockingham,2020-04-27,33015,New Hampshire,309769
289,345.0,Hillsborough,2020-04-27,33011,New Hampshire,417025
369,517.0,Providence,2020-04-27,44007,Rhode Island,638931
19,650.0,Hartford,2020-04-27,09003,Connecticut,891720
9,701.0,Fairfield,2020-04-27,09001,Connecticut,943332
